Date,BNB_price,BNB_market_cap,BNB_total_volume,XRP_price,XRP_market_cap,XRP_Total_volume,LTC_price,LTC_market_cap,LTC_total_volume,ETH_price,ETH_market_cap,ETH_total_volume,BTC_price,BTC_market_cap,BTC_total_volume,NASDAQ_Comp_Price
2022-03-22,396.4847042,66563040409,1117952150,0.837980966,40278680453,3677001141,116.0968916,8098071474,636733220.9,2896.586932,3.47667E+11,13890729059,41061.81589,7.79205E+11,21335882483,14108.82
2022-03-23,403.9744203,67944911784,1410134836,0.837224397,40301095226,3549893086,122.8543694,8564524535,940390291.4,2969.784984,3.56813E+11,15671928048,42401.8956,8.03937E+11,28688623151,13922.6
2022-03-24,407.7264488,68533085664,1359589492,0.837650562,40309455206,3256620136,122.3063348,8551817228,694876457,3028.835258,3.63716E+11,14257143986,42802.15471,8.10894E+11,21851891599,14191.84
2022-03-25,413.5199384,69570163338,1414904527,0.842111402,40523755643,2788824891,126.9409301,8889688946,817339754.7,3106.657024,3.73177E+11,16202188702,43936.09623,8.34251E+11,26212783704,14169.3
2022-03-28,429.7920416,72171510772,1228513374,0.85392365,41121465145,1855295729,129.1282781,9017530688,628570175.6,3285.173097,3.94487E+11,11980084884,46715.11762,8.87283E+11,22545392530,14354.9
2022-03-29,429.8840894,72525569986,1785452105,0.864054895,41579711814,3277202258,127.9092943,8946798913,845452466.1,3328.934125,3.99978E+11,18514225351,46994.87912,8.92748E+11,30051327357,14619.64
2022-03-30,434.2691326,73031351754,1642982251,0.857042232,41224241578,2363256678,130.0314866,9096209058,724299185.8,3401.184431,4.08154E+11,17936369662,47459.26124,9.0143E+11,26128040681,14442.27
2022-03-31,442.792745,74528326962,1873665298,0.860484729,41449148706,2300476565,131.0344178,9187246632,837318486.7,3383.788762,4.07461E+11,14183468638,47063.36585,8.95356E+11,24497248306,14220.52
2022-04-01,428.763372,72076475923,1862521188,0.815211784,39229302715,2910917621,123.6218232,8649611372,1242471537,3283.302843,3.94629E+11,16222256121,45528.40715,8.6501E+11,27736469646,14261.5
2022-04-04,449.0517773,75453944280,1926051774,0.842596532,40545522531,1819121861,129.0060143,9029301327,569747297.4,3521.584725,4.23411E+11,14019828281,46434.56298,8.82347E+11,21510196790,14532.55
2022-04-05,447.4021754,75127757361,2040640168,0.828127634,39809813062,2337211874,124.8180749,8737514857,722104025.1,3520.967118,4.23368E+11,16925919014,46622.63571,8.85585E+11,28019309651,14204.17
2022-04-06,446.6928277,75257138924,2111671411,0.818752457,39411319970,2017746803,123.2376915,8627354201,549673831.4,3422.969884,4.12945E+11,15114055502,45635.45438,8.67247E+11,25474063862,13888.82
2022-04-07,420.5214175,70913339347,2227804262,0.762165917,36687016207,3043359043,112.3400633,7865215223,945958315.5,3171.371104,3.82809E+11,26109763335,43198.77527,8.20983E+11,34113818642,13897.3
2022-04-08,437.0924224,73491424319,1902419276,0.78830018,37944994434,2580151283,114.2564683,8000180296,595834194.5,3232.834989,3.88867E+11,16149775915,43515.15032,8.27033E+11,22960138784,13711
2022-04-11,419.8228519,70798823665,1230641842,0.75627843,36403620790,2353543395,111.0007174,7774659048,431993131.3,3219.159553,3.88982E+11,10005373137,42274.90737,8.03575E+11,14936318819,13411.96
2022-04-12,394.0547031,66255189770,2139768656,0.695584399,33601430163,3463223950,102.5605026,7200362879,731362436.3,2992.702106,3.60149E+11,21142997360,39603.96516,7.52681E+11,30168665078,13371.57
2022-04-13,414.5915062,69708186956,1974498685,0.71712063,34518751872,2991917531,104.9504442,7352380320,542327195,3038.209422,3.65661E+11,18977679664,40205.67794,7.64315E+11,27804694935,13643.59
2022-04-14,423.5428768,71207307204,1726755979,0.725525856,34923339192,2962354971,110.5393083,7744728904,736067146,3121.399823,3.75768E+11,15452917855,41205.16872,7.83561E+11,25453869986,13351.08
2022-04-18,407.5266023,68520314957,887315102.7,0.753739404,36281404230,2325391323,108.7182547,7620290319,551054763.4,2995.719421,3.60749E+11,9543306566,39739.11926,7.55627E+11,16627779442,13332.36
2022-04-19,416.9236775,70069289513,1663405007,0.7689779,36961492295,3253728969,111.3028771,7802221295,668538119.4,3061.890571,3.68758E+11,18188817400,40833.53797,7.76463E+11,30617039400,13619.66
2022-04-20,422.1816859,70963228670,1684344618,0.775448466,37281016472,2955754187,113.7998886,7978091491,541535569,3104.688448,3.73783E+11,13472639207,41498.12245,7.89142E+11,22717772925,13453.07
2022-04-21,418.2972967,70312408958,2041447598,0.752176494,36163418570,2968256968,111.9276636,7847576071,557424685.4,3079.676478,3.70911E+11,15155965878,41397.22048,7.87437E+11,24937668255,13174.65
2022-04-22,405.0075264,68052602511,1987149684,0.73321177,35216094190,3087161598,106.8909064,7495270070,617882742.1,2987.488876,3.59918E+11,20529419340,40528.54149,7.70787E+11,32131220616,12839.29
2022-04-25,399.0690747,67305356883,1105869388,0.698797837,33679276497,2137895121,104.5830843,7353852322,406301974.9,2922.901865,3.52896E+11,9196851418,39469.04986,7.52446E+11,16778683768,13004.85
2022-04-26,404.606784,68052709105,1913307234,0.695632929,33457536155,3506826552,104.6682242,7342458471,699296587.7,3008.336347,3.6259E+11,22037549639,40488.87792,7.70112E+11,32883645914,12490.74
2022-04-27,385.0276125,64737401506,1075313404,0.642326343,30899259598,3080452315,98.47205958,6905588553,565465024.2,2806.748836,3.38098E+11,17750798289,38134.21545,7.25435E+11,31053018153,12488.93
2022-04-28,391.2855429,65776057225,1395387038,0.652834867,31365628078,2764376400,100.5148837,7044347419,587252051.5,2889.592223,3.48355E+11,17036298769,39237.94932,7.46473E+11,28170490246,12871.53
2022-04-29,406.3266879,68164491596,2003276232,0.644126845,30955595875,2514240505,103.105912,7233137790,698782310.9,2932.455084,3.53388E+11,18249410920,39741.76665,7.56091E+11,31484572271,12334.64
2022-05-02,390.8651456,65644187988,1747249742,0.609216661,29306510543,2519502424,99.56235862,6988663597,501504213.4,2832.513107,3.41626E+11,14489173445,38537.65477,7.33295E+11,24857664487,12536.02
2022-05-03,389.8047599,65520745451,1150913813,0.614486495,29560017164,2835507497,100.738159,7071929147,544476247.6,2861.372376,3.4508E+11,17701813871,38561.5654,7.33788E+11,29825308569,12563.76
2022-05-04,383.7098537,64548901392,1231287145,0.605470265,29175409588,2607753844,99.43926446,6983388526,456809364.1,2786.047248,3.36655E+11,12836324478,37758.49611,7.18542E+11,23070122642,12964.86
2022-05-05,402.6195205,67720818328,1688036565,0.647959419,31335585499,3128110704,106.2971769,7452459937,680625468,2942.052313,3.5523E+11,17336934450,39699.02404,7.55764E+11,31748901527,12317.69
2022-05-06,379.2123644,63635450816,2539500897,0.600474259,29028787892,3128274793,97.05144188,6815194463,773199096.1,2753.936567,3.32104E+11,20868783133,36612.22955,6.96021E+11,37402043366,12144.66
2022-05-09,355.6655819,59770459493,1768055683,0.566960804,27408643528,2376686424,93.97274562,6605705094,649055677.7,2517.829922,3.04412E+11,20582973186,34070.3122,6.48514E+11,30810576502,11623.25
2022-05-10,301.2837558,50859142820,3164346808,0.494744271,23917472370,3820425217,77.62901855,5453577954,1074324210,2249.890962,2.71595E+11,34392685562,30269.58696,5.76198E+11,58369928594,11737.67
2022-05-11,318.9583938,53628718914,4423139725,0.515090217,24901058481,4449610450,80.20417322,5623187761,1603321469,2344.797716,2.83082E+11,36844564808,31026.93387,5.90644E+11,54071363210,11364.24
2022-05-12,269.0066966,44475852348,2297689497,0.416689994,20236495510,5654427177,66.44698877,4717884226,1828243908,2080.910244,2.50067E+11,46548009611,28913.48836,5.49294E+11,65985702702,11370.96
2022-05-13,269.7728009,45445655852,5267479590,0.387720967,18743633948,5171860946,64.37483027,4514362713,1780319203,1966.699171,2.38138E+11,41621733327,29126.11598,5.55266E+11,61338080284,11805
2022-05-16,311.9756267,52549787608,1727805539,0.448154446,21676314970,2107871027,71.52515279,5027705637,643863699.7,2147.047448,2.5935E+11,14395455889,31319.30911,5.96346E+11,22948123704,11662.79
2022-05-17,298.1658192,50065379603,1684110716,0.423552236,20475828598,2480176432,67.25713171,4727063471,612302827.6,2025.888698,2.44742E+11,20068743682,29923.60699,5.69802E+11,28418179221,11984.52
2022-05-18,306.5358434,51662703575,1584146318,0.439154212,21206918515,2261832658,72.96254841,5131419406,696148340.6,2095.178885,2.53641E+11,17005002529,30502.19328,5.81273E+11,24964703224,11418.15
2022-05-19,288.2491784,48512726766,1487684738,0.406475849,19667366546,2023407676,66.16330359,4652219479,639768020.3,1915.177123,2.32056E+11,15892119501,28772.2005,5.47927E+11,26219431165,11388.5
2022-05-20,307.6304936,51737725724,1444186202,0.421630479,20386508124,2149785235,72.2539575,5083330268,691507684.6,2023.848259,2.44359E+11,17828306699,30382.40624,5.78678E+11,29190056577,11354.62
2022-05-23,319.849439,53787029351,1764074093,0.422860876,20460151560,1421121319,71.8088337,5051287080,350935242,2046.64635,2.4773E+11,9623174528,30351.05042,5.7809E+11,17199930155,11535.27
2022-05-24,317.7471875,53466327177,2205318719,0.405500995,19603175617,1813039685,69.22022325,4869719418,607747746.7,1974.581194,2.38723E+11,14627311158,29163.16778,5.55459E+11,26646754325,11264.45
2022-05-25,328.2995872,55142195074,2193790176,0.409202315,19782108930,1706980389,70.37967753,4947972472,483136722.3,1979.770545,2.39375E+11,12880481568,29655.02613,5.64885E+11,23486436837,11434.74
2022-05-26,326.1822222,54907712189,2048522178,0.406302982,19651540840,2015843764,68.24843995,4802383937,429479050.7,1944.842845,2.35348E+11,12554611854,29584.94985,5.63577E+11,23108764916,11740.65
2022-05-27,307.8241927,51941575183,2808282194,0.394398177,19066430980,2485081451,63.86671619,4494521684,620880465.2,1807.969474,2.19247E+11,22669347247,29346.78144,5.59066E+11,31972044692,12131.13
2022-05-31,322.1886142,54167940539,1711355389,0.418705384,20236714660,1445550918,69.1223947,4866360585,513114167.3,1995.936484,2.41205E+11,18803016950,31740.94073,6.04927E+11,34891305295,12081.39
2022-06-01,321.6774475,54115193869,1758873055,0.424448031,20519703901,1735357530,68.50657607,4823421848,457451806.8,1944.078767,2.35235E+11,17409076011,31865.74962,6.07393E+11,29770567353,11994.46
2022-06-02,300.8807913,50589204416,1797066801,0.399343936,19314953814,1522349174,63.12657633,4445023672,664334757.1,1828.892655,2.21597E+11,19904831726,29833.45033,5.69002E+11,35553330792,12316.9
2022-06-03,308.0890667,50390903059,1137058519,0.405954339,19625091702,1302678376,64.30984659,4537878827,401464500.4,1833.089841,2.22487E+11,16444980824,30481.014,5.80863E+11,24232399986,12012.73
2022-06-06,298.8156435,48872078493,699650522.2,0.396182835,19187176365,705391274,63.1755275,4450355542,281702795.8,1805.331395,2.18561E+11,8385255000,29917.76405,5.7021E+11,13395229055,12061.37
2022-06-07,295.5895466,48425486341,1554388272,0.402852204,19501680101,1246532475,64.39874448,4537018461,422013762.9,1860.181307,2.25224E+11,16623006598,31372.58476,5.97967E+11,27644798123,12175.23
2022-06-08,290.9253456,47501410274,1918205658,0.408685439,19757121549,1656469091,63.99415395,4517091525,477304904.7,1818.387712,2.20728E+11,23647547692,31265.46928,5.97206E+11,36111325508,12086.27
2022-06-09,288.9760035,47241635832,1035851849,0.401364697,19403214154,1189901698,61.63098513,4346970016,506131225.4,1794.539626,2.17321E+11,17712874977,30229.23684,5.76239E+11,27080284929,11754.23
2022-06-10,289.8022594,47342510177,678010474.9,0.400132867,19337901434,968180633,60.14190469,4235548756,357229686.8,1788.418287,2.1672E+11,10469080004,30101.18752,5.7382E+11,18871591862,11340.02
2022-06-13,256.0828078,42131635373,1355338379,0.347371624,16827700965,1333656926,47.98432571,3409469264,599597664.3,1454.68676,1.7665E+11,22843765039,26767.26917,5.14202E+11,29834061116,10809.23
2022-06-14,222.6377519,36198614008,2566326222,0.311382868,15053213503,2571889116,43.29198705,3052074080,1055626618,1205.595286,1.46073E+11,47571733027,22525.76835,4.29492E+11,64852526179,10828.35
2022-06-15,223.4542589,36442165016,2147410141,0.322955071,15568557097,2039011090,46.15396419,3254150240,918915663,1214.866265,1.46867E+11,32772246927,22244.84897,4.23044E+11,47639470968,11099.15
2022-06-16,232.6966634,37939256522,2302592253,0.344393824,16638203872,2286498342,50.50859614,3552498434,990893654.8,1230.364335,1.48791E+11,39679810345,22529.19811,4.29888E+11,52027211447,10646.1
2022-06-17,209.8337201,34207718311,831988466.9,0.31243655,15102606561,1488890181,44.6867273,3144933935,692628105.7,1068.603575,1.292E+11,18016510161,20408.69049,3.89182E+11,27449277946,10798.35
